[BBR-LOG] T=0.441 s, Send=835.99 Mbps, Recv=0.48 Mbps, Total=836.47 Mbps, EstBW=370.66 Mbps, PacingRate=1070.00 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=200.79 Mbps, RTT=41108 us, MinRTT=28854 us, CWND=3911008 B, InFlight=3761628 B, Lost=0, State=STARTUP, Pkts=1341/0, Bytes=1892167/1083, SendDelay=40339 us, AckDelay=47595 us
[BBR-LOG] T=0.457 s, Send=253.29 Mbps, Recv=0.41 Mbps, Total=253.71 Mbps, EstBW=469.37 Mbps, PacingRate=1354.93 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=469.37 Mbps, RTT=41625 us, MinRTT=28854 us, CWND=2396224 B, InFlight=2291736 B, Lost=703, State=STARTUP, Pkts=357/703, Bytes=504084/821, SendDelay=36319 us, AckDelay=33669 us
[BBR-LOG] T=0.484 s, Send=116.60 Mbps, Recv=0.36 Mbps, Total=116.96 Mbps, EstBW=521.65 Mbps, PacingRate=1505.87 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=207.61 Mbps, RTT=39808 us, MinRTT=28854 us, CWND=2394752 B, InFlight=2366512 B, Lost=1, State=STARTUP, Pkts=280/1, Bytes=395360/1228, SendDelay=37576 us, AckDelay=52996 us
[BBR-LOG] T=0.522 s, Send=637.69 Mbps, Recv=0.36 Mbps, Total=638.05 Mbps, EstBW=552.51 Mbps, PacingRate=1594.95 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=79.58 Mbps, RTT=37848 us, MinRTT=28854 us, CWND=3582244 B, InFlight=3040168 B, Lost=27, State=STARTUP, Pkts=2160/27, Bytes=3048640/1728, SendDelay=41163 us, AckDelay=35724 us
[BBR-LOG] T=0.536 s, Send=391.87 Mbps, Recv=0.21 Mbps, Total=392.07 Mbps, EstBW=552.51 Mbps, PacingRate=1594.95 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=117.42 Mbps, RTT=37869 us, MinRTT=28854 us, CWND=3899944 B, InFlight=3388756 B, Lost=1, State=STARTUP, Pkts=474/1, Bytes=669112/352, SendDelay=42386 us, AckDelay=49350 us
[BBR-LOG] T=0.560 s, Send=1217.07 Mbps, Recv=0.52 Mbps, Total=1217.60 Mbps, EstBW=552.51 Mbps, PacingRate=1594.95 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=399.25 Mbps, RTT=42322 us, MinRTT=28854 us, CWND=4556656 B, InFlight=4159576 B, Lost=801, State=STARTUP, Pkts=2613/801, Bytes=3689556/1586, SendDelay=34907 us, AckDelay=36982 us
[BBR-LOG] T=0.574 s, Send=179.62 Mbps, Recv=0.73 Mbps, Total=180.35 Mbps, EstBW=552.51 Mbps, PacingRate=1594.95 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=256.35 Mbps, RTT=37756 us, MinRTT=28854 us, CWND=5179172 B, InFlight=3854584 B, Lost=0, State=STARTUP, Pkts=225/0, Bytes=317524/1291, SendDelay=42194 us, AckDelay=35867 us
[BBR-LOG] T=0.591 s, Send=979.80 Mbps, Recv=0.19 Mbps, Total=979.99 Mbps, EstBW=552.51 Mbps, PacingRate=1594.95 Mbps, PacingGain=2.89x, CwndGain=2.89x, DeliveryRate=234.66 Mbps, RTT=36763 us, MinRTT=28854 us, CWND=5988060 B, InFlight=4788039 B, Lost=6, State=STARTUP, Pkts=1474/6, Bytes=2079999/398, SendDelay=40719 us, AckDelay=49993 us
[BBR-LOG] T=0.616 s, Send=1226.86 Mbps, Recv=0.45 Mbps, Total=1227.31 Mbps, EstBW=552.51 Mbps, PacingRate=189.93 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=399.11 Mbps, RTT=40074 us, MinRTT=28854 us, CWND=5958420 B, InFlight=5874043 B, Lost=1098, State=DRAIN, Pkts=2717/1098, Bytes=3836404/1404, SendDelay=33136 us, AckDelay=41290 us
[BBR-LOG] T=0.629 s, Send=491.73 Mbps, Recv=2.76 Mbps, Total=494.50 Mbps, EstBW=552.51 Mbps, PacingRate=189.93 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=509.89 Mbps, RTT=41716 us, MinRTT=28854 us, CWND=6787387 B, InFlight=4593236 B, Lost=443, State=DRAIN, Pkts=566/443, Bytes=799192/4489, SendDelay=43388 us, AckDelay=53811 us
[BBR-LOG] T=0.641 s, Send=1358.89 Mbps, Recv=0.79 Mbps, Total=1359.68 Mbps, EstBW=552.51 Mbps, PacingRate=189.93 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=377.40 Mbps, RTT=41179 us, MinRTT=28854 us, CWND=6959651 B, InFlight=6482873 B, Lost=2, State=DRAIN, Pkts=1465/2, Bytes=2067549/1206, SendDelay=42197 us, AckDelay=48337 us
[BBR-LOG] T=0.656 s, Send=1110.44 Mbps, Recv=1.90 Mbps, Total=1112.35 Mbps, EstBW=747.98 Mbps, PacingRate=257.12 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=473.84 Mbps, RTT=37234 us, MinRTT=28854 us, CWND=6346843 B, InFlight=4751761 B, Lost=1543, State=DRAIN, Pkts=1426/1543, Bytes=2013512/3448, SendDelay=40127 us, AckDelay=30276 us
[BBR-LOG] T=0.677 s, Send=602.18 Mbps, Recv=0.61 Mbps, Total=602.80 Mbps, EstBW=747.98 Mbps, PacingRate=257.12 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=307.88 Mbps, RTT=38822 us, MinRTT=28854 us, CWND=6517695 B, InFlight=6170821 B, Lost=2, State=DRAIN, Pkts=1130/2, Bytes=1595560/1622, SendDelay=40259 us, AckDelay=51219 us
[BBR-LOG] T=0.694 s, Send=408.92 Mbps, Recv=2.96 Mbps, Total=411.89 Mbps, EstBW=747.98 Mbps, PacingRate=257.12 Mbps, PacingGain=0.34x, CwndGain=2.89x, DeliveryRate=335.93 Mbps, RTT=43829 us, MinRTT=28854 us, CWND=7027808 B, InFlight=4251532 B, Lost=798, State=DRAIN, Pkts=598/798, Bytes=844376/6121, SendDelay=34810 us, AckDelay=48329 us
[BBR-LOG] T=0.717 s, Send=1004.22 Mbps, Recv=2.25 Mbps, Total=1006.46 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=373.27 Mbps, RTT=37703 us, MinRTT=28854 us, CWND=6073296 B, InFlight=3700852 B, Lost=1591, State=PROBE_BW, Pkts=2116/1591, Bytes=2987792/6692, SendDelay=43166 us, AckDelay=36626 us
[BBR-LOG] T=0.738 s, Send=1181.63 Mbps, Recv=0.55 Mbps, Total=1182.18 Mbps, EstBW=747.98 Mbps, PacingRate=934.98 Mbps, PacingGain=1.25x, CwndGain=2.00x, DeliveryRate=329.68 Mbps, RTT=35160 us, MinRTT=28854 us, CWND=6811772 B, InFlight=6030322 B, Lost=1, State=PROBE_BW, Pkts=2175/1, Bytes=3070770/1419, SendDelay=46907 us, AckDelay=51533 us
[BBR-LOG] T=0.750 s, Send=1209.72 Mbps, Recv=0.66 Mbps, Total=1210.38 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=331.93 Mbps, RTT=38795 us, MinRTT=28854 us, CWND=7391928 B, InFlight=6586650 B, Lost=3, State=PROBE_BW, Pkts=1288/3, Bytes=1818656/997, SendDelay=42460 us, AckDelay=51455 us
[BBR-LOG] T=0.768 s, Send=1152.45 Mbps, Recv=1.07 Mbps, Total=1153.52 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=438.25 Mbps, RTT=40881 us, MinRTT=28854 us, CWND=7391928 B, InFlight=7237582 B, Lost=654, State=PROBE_BW, Pkts=1861/654, Bytes=2627732/2433, SendDelay=35225 us, AckDelay=50030 us
[BBR-LOG] T=0.779 s, Send=1079.77 Mbps, Recv=2.42 Mbps, Total=1082.19 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=547.59 Mbps, RTT=39571 us, MinRTT=28854 us, CWND=7391928 B, InFlight=5745428 B, Lost=1312, State=PROBE_BW, Pkts=1012/1312, Bytes=1428944/3200, SendDelay=37010 us, AckDelay=38060 us
[BBR-LOG] T=0.789 s, Send=1083.72 Mbps, Recv=3.14 Mbps, Total=1086.85 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=543.09 Mbps, RTT=39065 us, MinRTT=28854 us, CWND=7338778 B, InFlight=5211692 B, Lost=698, State=PROBE_BW, Pkts=966/698, Bytes=1363992/3950, SendDelay=41200 us, AckDelay=38001 us
[BBR-LOG] T=0.815 s, Send=1123.29 Mbps, Recv=1.14 Mbps, Total=1124.43 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=358.31 Mbps, RTT=36445 us, MinRTT=28854 us, CWND=6521230 B, InFlight=6301756 B, Lost=1185, State=PROBE_BW, Pkts=2563/1185, Bytes=3618956/3669, SendDelay=36904 us, AckDelay=42402 us
[BBR-LOG] T=0.827 s, Send=874.55 Mbps, Recv=1.91 Mbps, Total=876.46 Mbps, EstBW=747.98 Mbps, PacingRate=747.98 Mbps, PacingGain=1.00x, CwndGain=2.00x, DeliveryRate=510.32 Mbps, RTT=37222 us, MinRTT=28854 us, CWND=6536762 B, InFlight=4679368 B, Lost=1029, State=PROBE_BW, Pkts=920/1029, Bytes=1299040/2831, SendDelay=42978 us, AckDelay=52792 us
